input_csv,image_path,idx_in_cluster,description,objects,objects_not_found
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_100/cluster_items_objects_np.csv,Images/London/London_0000061_2017_06_120_51.48623459766011_-0.1377112053491881_91fJ9r21S0xhOsUcCqimhA.jpg,5,"Tall green deciduous tree, black iron railings, white/cream multi-story terraced houses with white balustrade balconies, classical white columns flanking recessed black entrances, rectangular sash windows, black and white checkered floor tiles at entrances 60 and 6, a long row of similar houses receding into the distance, additional tall green deciduous trees, a dark street lamp pole, a paved sidewalk, and an asphalt road with white dashed lines.",tree. house. sidewalk. road,house
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_100/cluster_items_objects_np.csv,Images/London/London_0000061_2018_03_141_51.48624423742789_-0.1377348131310064_33Sb9MKPu-ShoNbARIp_yg.jpg,6,"Light-colored terraced house, white columned portico of house 60 with black iron railings, white columned portico of house 62 with black iron railings, long row of white and light-blue terraced houses with white first-floor balustrades and ground-floor porticoes, bare trees, black street lamp post, curved asphalt road with white lane markings, distant red-brick building with rounded roof feature, distant multi-story grey/white building.",house. road. building. tree,house
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1000/cluster_items_objects_np.csv,Images/London/London_0000863_2014_10_229_51.49037158349948_-0.1806655225294415_h0P5YzXp8oPYiJadw4JO9g.jpg,1,"Red brick terraced building, red post box, paved sidewalk, black ornate iron railings, white stucco two-story bay window with arched window openings, reddish-brown brick facade, white stucco balcony with balustrade, large white stucco multi-story bay window structure with arch-top sash windows, dark-framed tall sash window, traditional black street lamp.",building. window. facade. balcony. balustrade. structure,balustrade. structure
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1000/cluster_items_objects_np.csv,Images/London/London_0000863_2017_12_227_51.49034516113293_-0.1806487275426887_o5LmqhNp_o0lYbnyCIqrLQ.jpg,3,"Tall red brick apartment building with multiple square windows, multi-story brown brick and white stucco terraced house with a ground floor bay window featuring two arched windows, black ornate lamppost, black wrought iron fence, stone steps leading to a black front door with a white surround and number '5' on the rightmost visible terraced house.",building. house. window. door,house
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1000/cluster_items_objects_np.csv,Images/London/London_0000863_2017_03_246_51.49035687975321_-0.1806569641417212_7s8uMc4mxxoKBfilVKRanw.jpg,4,"Brick facade terraced building, black ornate street lamp, left ornate white bay window with red-brown arched window frames and white balustrade, black wrought iron railings, central ornate white bay window with red-brown arched window frames and white balustrade, ornate white entrance portico with columns and red-brown accents, dark front door with transom window and steps, right window with white frame and red-brown surround, upper floor windows, vertical drain pipe.",building. window. frame. balustrade. railing. portico. column. surround. pipe,frame. balustrade. surround
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1000/cluster_items_objects_np.csv,Images/London/London_0000863_2014_06_230_51.49035980404807_-0.1806501948258867_PpARloQDAPUPHXvJz2kDZA.jpg,6,"A tall multi-story building constructed of reddish-brown brick with rectangular windows is on the far left, followed by a shorter building with a light-brown brick facade, reddish-brown brick trim, and white ornate ground-level bay windows featuring arched windows and white columns, topped by white balconies with decorative balustrades, an identical ornate ground-level bay window to the right, a tall black ornate street lamp, an entrance with a dark door and white frame, and a low brick wall topped with black wrought iron railings in front of the buildings.",building. brick. window. facade. column. balcony. balustrade. door. frame. wall. railing. front,brick. balustrade. frame. front
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1002/cluster_items_objects_np.csv,Images/London/London_0000924_2017_12_001_51.49036745324044_-0.1383705372276096_57IfqQNoaPclkyOSwwZqPQ.jpg,0,"Deciduous trees, black iron fence, multi-story terraced buildings with light-colored facades and dark railings, asphalt road with textured paving section, white dashed and solid road markings, white road arrow, rows of multi-story terraced buildings with brick and light-colored facades.",building. facade. road. marking. row,row
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1002/cluster_items_objects_np.csv,Images/London/London_0000924_2016_05_000_51.49034704853579_-0.1384124234058243_bbhd7puyKcodY3IQFMmDlA.jpg,1,"Large green tree on the left, black metal railings in front of houses on the left, yellow pedestrian crossing bollards on the left sidewalk, white terraced houses with black railings on the left side of the street, ornate black street lamp, red-brick apartment buildings further down on the left, grey asphalt road with white painted lines and cobblestone crossing, white terraced houses with black railings on the right side of the street, dark triangular street sign on a pole on the right sidewalk, red-brick apartment buildings further down on the right, overcast sky.",tree. sidewalk. side. street. building. sign. pole,side
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1002/cluster_items_objects_np.csv,Images/London/London_0000924_2020_11_002_51.49036422291488_-0.1383855780024473_uGPqXN41S1RapymtuHHbfA.jpg,3,"Large green tree with foliage, white terraced houses with black railings and fences, sidewalk with light-colored paving, black bollard/post, street signpost, lamppost with classic lantern-style light fixture, road with dark patterned surface transitioning to asphalt, reddish-brown brick building with stepped architecture, long row of light-colored terraced houses with numerous windows and dark balcony railings, second lamppost with classic lantern-style light fixture, white road markings including lines and arrow shapes, dark bin/utility box, further multi-story reddish-brown brick building in the far background.",tree. house. railing. fence. paving. post. signpost. fixture. road. building. window. marking. shape,house. fixture. shape
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1002/cluster_items_objects_np.csv,Images/London/London_0000924_2014_06_007_51.49035794225622_-0.1384022683826769_4EaSph_olksfZ94k-cN_CA.jpg,4,"Large green deciduous tree, multi-story light-colored residential building with columns and black metal fence, paved sidewalk, asphalt road with white dashed lane markings and white pedestrian crossing stripes, black street lamp post with traditional lantern fixture, paved sidewalk, long row of multi-story light-colored terraced residential buildings with black metal balconies/railings, multi-story red brick buildings in the distance on both sides of the street.",tree. building. sidewalk. road. marking. stripe. post. fixture. side. street,stripe. fixture. side
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1002/cluster_items_objects_np.csv,Images/London/London_0000924_2017_09_000_51.49035287706423_-0.1384047747483245_WEDZz-dv_JIZ3wnvh8gTPA.jpg,5,"Mature tree with green foliage, light-colored multi-story building facade with dark windows, black ornate metal fence, street sign ""BELSIZE PARK ROAD"", rectangular concrete island with two dark bollards, grey asphalt road with white dashed center line, patterned light-colored paving at an intersection, row of elegant multi-story terraced buildings with light-colored facades, dark windows, and black railings on balconies, black street lamp post, distant urban buildings including red-brick.",tree. road. building. railing. post. brick,brick
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1003/cluster_items_objects_np.csv,Images/London/London_0000957_2019_07_036_51.49033947153782_-0.1154343381894616_l4rD3mZjiuilGFE1gwBmJg.jpg,1,"Grey asphalt road, grey concrete sidewalk, continuous reddish-brown brick wall with multiple bright blue panels, tall slender black streetlamp, green bushes and trees, long row of multi-story dark reddish-brown brick residential buildings with flat roofs, white-framed windows, balconies/terraces, multiple satellite dishes, and some flower boxes, faint ""WESTON RD"" sign visible on one building.",building. roof. window. terrace,roof. terrace
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1003/cluster_items_objects_np.csv,Images/London/London_0000957_2020_08_047_51.49034596855309_-0.115460672011339_PHiVtlBgFdxQsoG6qO8elA.jpg,2,"Asphalt road, concrete pavement, a low brown brick wall, a blue wooden pedestrian gate, a small green tree, more low brown brick wall, a second blue wooden pedestrian gate, multi-story brown brick residential buildings with a staggered facade featuring recessed and projecting sections, white window frames, balconies with railings, multiple white satellite dishes, a small green bush, a third blue wooden pedestrian gate in the wall, clear blue sky.",road. pavement. wall. tree. building. facade. section. frame. balcony. railing. bush. sky,section. frame
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1004/cluster_items_objects_np.csv,Images/London/London_0000863_2016_08_053_51.49037462705535_-0.1806740804287111_zVuyNNcTmWOFwYufe7XmdQ.jpg,0,"Red brick building, pavement, red pillar post box, black iron railings, ornate brick building with white bay window, black street lamp, ornate brick building with white bay window.",building. pavement. box. railings. window. lamps,box
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1004/cluster_items_objects_np.csv,Images/London/London_0000863_2019_06_050_51.49035882398562_-0.1806808602162973_fo5I-poZwIwaOi7oDcK7bw.jpg,2,"Red brick building under renovation with scaffolding, gray rectangular wall, sidewalk, black wrought iron fence, light brown brick residential building facade with white ground floor bay window and white first floor balustrade, red pillar box, black lamppost, continuation of black wrought iron fence, light brown brick residential building facade with white ground floor bay window and white first floor balustrade, asphalt street with white road markings.",building. facade. window. balustrade. lamppost. street. marking,balustrade
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1004/cluster_items_objects_np.csv,Images/London/London_0000863_2020_11_064_51.49035769455195_-0.1806739780805002_ubETiVwPcC5OWApBw4BhKg.jpg,3,"Brown brick building facade with white bay windows and red arches, black wrought iron fence, black lamppost, dark main entrance door with white frame and steps, light-colored sidewalk.",facade. window. arch. fence. door. frame. step. sidewalk,frame
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1004/cluster_items_objects_np.csv,Images/London/London_0000863_2008_07_047_51.49033594126976_-0.1806571189221274_j_ab9lF0pl6I61P2TLsiKg.jpg,4,"Tall multi-story building with reddish-brown brick facade and numerous rectangular windows, street pavement, ornate black metal fence with white stone pillars, terraced house with light brown brick facade and reddish-brown arched window surrounds, white-painted multi-sided bay window on the ground floor, and a white balustrade on the first floor, tall black lamppost, ornate black metal fence with white stone pillars, terraced house with light brown brick facade, reddish-brown arched window surrounds, white-painted multi-sided bay window on the ground floor, white balustrade on the first floor, steps leading to a dark arched front door with a white decorative frame, white stone pillars and ornate black metal fencing.",building. facade. window. pavement. fence. pillar. house. surround. floor. balustrade. door. frame. fencing,house. surround. balustrade. frame
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1005/cluster_items_objects_np.csv,Images/London/London_0000865_2017_12_314_51.49033661205602_-0.1800353768504487_cRWh69TNVH1NZxqx88e3sQ.jpg,0,"Light blue painted brick wall with a dark vertical pipe and bare climbing vines, a large arched white-framed sash window with 3x2 panes and pink internal covering, a small sparse shrub with light green leaves, a white-painted entrance unit consisting of a multi-paned white-framed window with pink covering, a narrow white door with a small top window and dark handle, and another multi-paned white-framed window with pink covering, a long white horizontal beam/trim above the entrance and garage, a large white two-section garage door with small rectangular top windows and two dark handles, grey paved ground, bare climbing vines on the rightmost light blue painted brick wall, a yellow painted line on the ground.",pipe. window. pane. door. handle. beam. entrance. garage. wall. ground,beam. entrance
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1005/cluster_items_objects_np.csv,Images/London/London_0000865_2012_05_309_51.49034576170099_-0.1800423625509604_Gew-WZq0V-j-Nr8vnFUG2A.jpg,1,"Light blue painted brick building with white trim, climbing green foliage on far left wall, large ground-floor white multi-pane sash window partially obscured by a green bush, narrow upper-floor white multi-pane sash window, white wooden entrance door with transom window and a number '1' plaque on ground floor center, upper-floor white multi-pane sash window, large white wooden garage door with four small top windows and a central latch on ground floor right, upper-floor white multi-pane sash window, climbing green ivy on far right wall.",building. wall. window. bush. door. plaque. latch. ivy,plaque
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1005/cluster_items_objects_np.csv,Images/London/London_0000865_2015_10_310_51.49034742936056_-0.1800473366148107_2jBZEKigavM67rp7raBIDQ.jpg,4,"Upper left white-framed window, lower left large white-framed window with pink blinds and green climbing plant, bushy plant with green and brown leaves, narrow white-framed window with pink blinds, white wooden door with dark knocker and house number 6, white wooden garage door with small rectangular windows at top and dark latch, upper right white-framed window, light blue painted brick facade with white horizontal beam separating floors.",door. facade. beam. floor,beam
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1006/cluster_items_objects_np.csv,Images/London/London_0000924_2018_10_175_51.49035038562754_-0.1383617247856121_DUpYsC6Qy2Dl_wYwscNEWA.jpg,1,"Large leafy tree, white residential building with prominent pillars and dark metal fence, dark lamppost, street with parked cars, long terraced residential building with light lower facade and darker upper facade featuring multiple windows with balconettes and a dark metal fence, triangular road sign, hillside with multi-story brick buildings in the distance.",tree. building. fence. lamppost. sign. hillside,hillside
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1006/cluster_items_objects_np.csv,Images/London/London_0000924_2008_07_177_51.49036802494396_-0.1383554131368039_qFAchVVgmCyyIR8Y-1L71A.jpg,2,"White terraced house with bay window and balcony, black metal railings, pavement, large black refuse container, asphalt road with white line markings, street light pole, receding line of terraced houses on left including some dark brick facades, curving asphalt road, terraced houses on right with black iron railings/balconies, dark street pole on right pavement.",house. pavement. road. marking. pole. facade,house
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1009/cluster_items_objects_np.csv,Images/London/London_0000987_2012_05_316_51.49036677250076_-0.0943351366604823_j77qjXTKREq480PVOi7Blw.jpg,1,"A tall, dark brick wall on the left featuring a white ""TURQUAND STREET"" sign, a paved sidewalk leading to a curved road with double yellow lines on the curb, a metal railing, a large deciduous tree with bare branches, a red telephone box further down the street, a smaller green-leafed tree, and a multi-story light brown brick residential building with rectangular windows, topped by a tall, black street lamp post on the far right.",wall. sidewalk. road. curb. railing. tree. branch. box. street. building. window. post. right,branch. box. right
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1009/cluster_items_objects_np.csv,Images/London/London_0000987_2015_04_318_51.4904081059181_-0.0943611786030924_KwOMfHtn6nVcOwTRSvzTXg.jpg,2,"Dark brown wooden paneling with house number ""41a"" and a letterbox, light brown brick residential building with multiple sash windows and a yellow ADT security sign, dark vertical downpipe, large light brown brick wall, white rectangular street sign reading ""ORGAND STREET"", bare deciduous tree, paved street corner with white curb and double yellow lines, distant red-brown brick building with multiple windows, red phone booth, street light pole.",building. window. wall. tree. corner. curb. pole,corner
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_101/cluster_items_objects_np.csv,Images/London/London_0000129_2018_04_309_51.4862373652051_-0.0901797082721509_k0v0VKryRiJKJ5UgZ-bnZw.jpg,0,"Dark brick multi-story building with a dark blue/black brick base; from left to right: a section with two white-framed windows with white louvered shutters, both on white sills with corbels, and reddish architectural details above some windows; a black vertical downpipe on the brick wall; a central white classical entrance portico with two columns, an entablature displaying ""180 to 184"", a dark door, and a white multi-paned window with a decorative pediment above; followed by another section with two white-framed windows with white louvered shutters, both on white sills with corbels, and reddish architectural details above some windows.",wall. door. pediment,wall
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_101/cluster_items_objects_np.csv,Images/London/London_0000129_2012_05_295_51.48624667102896_-0.0901630509771276_ySx6CRXCBEMaOITCsN5U4Q.jpg,2,"Dark brick building facade, white classical architectural door surround, white plaque above door with ""186 to 196"" numbers, dark paneled door, concrete entrance steps, projecting bay window structure with two white-framed multi-pane windows, white sills with decorative elements, and red brick accents with white decorative tops, vertical dark drainpipe, flat facade section with a white-framed window featuring many small square panes, white sill with decorative element, and red brick accent with white decorative top.",facade. surround. structure. window. sill. section. pane,surround. structure. section
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_101/cluster_items_objects_np.csv,Images/London/London_0000129_2008_06_306_51.48623552574418_-0.0902029940029385_PUMTe9SVzY-fQcL5UO1sug.jpg,3,"Exterior of a multi-story building, dark reddish-brown brick facade with white mortar, a partial white-framed multi-paned sash window, a white vertical architectural accent on a reddish-brown brick arch over a white-framed multi-paned sash window, a black downpipe, a white-framed multi-paned sash window, a white vertical architectural accent on a reddish-brown brick arch over a white-framed multi-paned sash window, a prominent ornate central white entrance structure with an arched pediment crowning a white-framed multi-paned window, the numbers ""180 - 184"" displayed above a dark brown wooden door flanked by white pilasters, a white vertical architectural accent on a reddish-brown brick arch over a white-framed multi-paned sash window, a white-framed multi-paned sash window.",exterior. building. facade. window. downpipe. structure. pediment. door. pilaster,downpipe. structure. pilaster
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_101/cluster_items_objects_np.csv,Images/London/London_0000129_2008_08_305_51.4862383986944_-0.0901844144849023_0qGRoDfhueKYKo0KQ1edFA.jpg,4,"Dark brick building facade, left bay window with white-framed sash windows and white sills/lintels, red brick accents and white inverted trapezoidal decorative elements, dark brick wall section with a black vertical drainpipe, two white-framed sash windows on the lower level with white sills, red brick accents, and white inverted trapezoidal decorative elements, ornate white architrave entrance with columns and a brown wooden door, numbers ""180-184"" inscribed above the door, ornate white architrave window above the entrance topped with a curved pediment, dark brick wall section.",facade. window. sill. lintel. entrance. column. door. number. pediment,lintel
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_101/cluster_items_objects_np.csv,Images/London/London_0000129_2017_04_300_51.48624436693232_-0.0901636404226345_1BU-kOZwphxHZM6MztE56w.jpg,5,"White arched entryway, ""186 to 196"" sign, dark brown double doors with gold hardware, light brown brick building facade with a dark brick base, repeating pattern of white grid-paned windows, reddish-brown architectural lintels and sills, white decorative corbels beneath window sills, white vertical architectural accents between windows, black vertical drainpipe on the brick wall.",facade. window. sill. corbel. drainpipe. wall,corbel. wall
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_101/cluster_items_objects_np.csv,Images/London/London_0000129_2015_04_298_51.48624663439734_-0.0901401798344835_Z318Ss8ChwxsKhZYBRpZog.jpg,7,"Dark brick building facade, a white-framed sash window with horizontal panes, a white window sill, red and white decorative corbels above and below the window, a prominent white classical-style entrance frame, a dark brown double door with glass panes, a sign above the door reading ""186 to 196"", a vertical black downpipe, two side-by-side white-framed sash windows with horizontal panes and internal blinds, white window sills, red and white decorative corbels above and below the windows, dark brick at the base.",brick. base,base
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_101/cluster_items_objects_np.csv,Images/London/London_0000129_2014_06_299_51.48624143954152_-0.0901718765900749_aJgfpyV-YuXAScQZLCGCqg.jpg,9,"White door frame with the number 196 above a dark door, brownish-grey brick building facade, decorative white and red elements above windows, a large bay window with white frames and multiple small panes, a black vertical downspout, a corner bay window with white frames and multiple small panes, a partially visible window to its right, a dark brick foundation at the base of the building, light grey paved sidewalk in the foreground.",door. facade. window. frame. pane. downspout. sidewalk,frame
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1012/cluster_items_objects_np.csv,Images/London/London_0000913_2018_10_169_51.49036873452727_-0.1462483956545126_MqWJ21Xdhb9m2p8oM4v54g.jpg,2,"Multi-story red brick building with white horizontal bands on the far left, followed by a brick wall topped with a blue metal railing, a paved sidewalk, a large deciduous tree with green and reddish-brown leaves, white multi-story residential buildings with dark roofs in the background, an asphalt road with white line markings, a black ornate street lamp pole on the right, and multi-story white classical residential buildings with balconies and decorative cornices extending along the right side of the street.",building. wall. sidewalk. tree. leaf. roof. road. marking. pole. cornice. side. street,leaf. side
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1012/cluster_items_objects_np.csv,Images/London/London_0000913_2016_05_038_51.49036450612892_-0.1462352546133945_z10T_24Yw1346BNrnjQv6w.jpg,3,"White multi-story terraced buildings with numerous windows, raised garden area bordered by a brick wall and a blue metal railing, green trees, grey pavement, black street lamp pole, dark asphalt road with white zig-zag road markings, white dashed road line, partial word ""MO"" painted on the road, black decorative bollard, white multi-story terraced buildings with classical architectural features and ornate balconies, Union Jack flag, street receding into the distance lined with similar white buildings and trees.",building. wall. pavement. road. marking. bollard. feature,bollard. feature
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1012/cluster_items_objects_np.csv,Images/London/London_0000913_2014_07_173_51.49036869920378_-0.1462192001359288_6f78oGro1Ro8yG8jxOCIHg.jpg,4,"Large leafy tree, brick wall with blue metal railing, sidewalk, terraced white/cream buildings on the left, paved street with white dashed lines, traditional streetlights, terraced white/cream buildings on the right with ornate architectural details including cornices and balustrades, a prominent building on the right with a large arched entrance, a balcony, and a bracket displaying a Union Jack flag.",wall. building. street. streetlight. cornice. balustrade. entrance. balcony. bracket. flag,balustrade. bracket
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1012/cluster_items_objects_np.csv,Images/London/London_0000913_2008_07_155_51.49036041677085_-0.1462685291652026_684yz6iK4yyqX7CDfdxqOw.jpg,5,"A street in an urban setting with a tall red brick building featuring a white horizontal stripe on the left, a blue metal railing atop a brick retaining wall, a light gray paved sidewalk, an asphalt road curving right with white zigzag, dashed, and solid lines, several green trees, a prominent black street lamp, and a continuous row of white, ornate, multi-story buildings lining the right side of the street.",building. wall. sidewalk. road. tree. lamp. row. side,lamp. row. side
